BARELLA,Inter,C,83.0
MILINKOVIC-SAVIC,Lazio,C,80.25
VIDAL,Inter,C,77.5
ZIELINSKI,Napoli,C,75.75
KESSIE',Milan,C,75.5
DE ROON,Atalanta,C,74.5
TONALI,Milan,C,72.25
PELLEGRINI LO.,Roma,C,71.25
BENTANCUR,Juventus,C,70.75
VERETOUT,Roma,C,70.25
PASALIC,Atalanta,C,69.75
KOVALENKO,Spezia,C,69.75
RUIZ,Napoli,C,69.0
LOCATELLI,Juventus,C,68.25
BROZOVIC,Inter,C,68.25
CASTROVILLI,Fiorentina,C,68.0
SAELEMAEKERS,Milan,C,68.0
RABIOT,Juventus,C,68.0
BENNACER,Milan,C,67.75
MCKENNIE,Juventus,C,67.0
NANDEZ,Cagliari,C,67.0
LAZOVIC,Verona,C,66.5
LINETTY,Torino,C,66.25
LOPEZ M.,Sassuolo,C,66.0
ELMAS,Napoli,C,65.0
LUKIC,Torino,C,64.5
SVANBERG,Bologna,C,64.5
LEIVA LUCAS,Lazio,C,64.5
MAGGIORE,Spezia,C,64.25
RINCON,Torino,C,64.0
DOMINGUEZ,Bologna,C,63.75
BANDINELLI,Empoli,C,63.25
BONAVENTURA,Fiorentina,C,63.25
RECA ARKADIUSZ,Atalanta,C,63.25
PESSINA,Atalanta,C,62.75
OBIANG,Sassuolo,C,62.5
HENDERSON L.,Empoli,C,62.25
WALACE,Udinese,C,62.25
PULGAR,Fiorentina,C,62.0
CRISTANTE,Roma,C,62.0
TAMEZE,Verona,C,62.0
BENASSI,Fiorentina,C,61.75
BARAK,Verona,C,61.5
FREULER,Atalanta,C,61.5
CANDREVA,Sampdoria,C,61.25
FRATTESI,Sassuolo,C,61.0
MANDRAGORA,Torino,C,60.75
LOBOTKA,Napoli,C,60.5
VILLAR,Roma,C,60.5
MALEH,Fiorentina,C,60.25
MARIN,Cagliari,C,60.25
ARTHUR,Juventus,C,60.25
CAPEZZI,Salernitana,C,60.0
SCHOUTEN,Bologna,C,60.0
COULIBALY M.,Salernitana,C,59.75
JAGIELLO FILIP,Genoa,C,59.75
PERETZ,Venezia,C,59.5
AMRABAT,Fiorentina,C,59.5
VECINO,Inter,C,59.5
OLIVA CHRISTIAN,Cagliari,C,59.5
HAAS,Empoli,C,59.25
HERNANI,Genoa,C,59.0
DEMME,Napoli,C,59.0
ZURKOWSKI,Empoli,C,58.75
STROOTMAN,Cagliari,C,58.75
THORSBY,Sampdoria,C,58.5
ROG,Cagliari,C,58.5
DEIOLA,Cagliari,C,58.25
FIORDILINO,Venezia,C,58.25
COULIBALY L.,Salernitana,C,58.0
BADELJ,Genoa,C,58.0
KIYINE SOFIAN,Lazio,C,57.75
HENRIQUE MATHEUS,Sassuolo,C,57.75
GAGLIARDINI,Inter,C,57.75
RICCI S.,Empoli,C,57.5
ARSLAN,Udinese,C,57.5
AKPA AKPRO,Lazio,C,57.25
STULAC,Empoli,C,57.25
SENSI,Inter,C,56.75
CRNIGOJ,Venezia,C,56.75
KRUNIC,Milan,C,56.5
BOURABIA,Sassuolo,C,56.5
VELOSO MIGUEL,Verona,C,56.5
POBEGA,Milan,C,56.25
OBI,Salernitana,C,56.25
BASELLI,Torino,C,56.25
DI TACCHIO,Salernitana,C,55.75
CATALDI,Lazio,C,55.75
MAKENGO,Udinese,C,55.75
TESSMANN,Venezia,C,55.5
ESCALANTE,Lazio,C,55.5
BESSA,Verona,C,55.5
TAUGOURDEAU,Venezia,C,55.25
VACCA,Venezia,C,55.25
SILVA ADRIEN,Sampdoria,C,54.75
SAMARDZIC,Udinese,C,54.5
SCHIAVONE,Salernitana,C,54.25
ROVELLA,Genoa,C,54.25
DUNCAN,Fiorentina,C,54.0
KARAMOKO IBRAHIM,Torino,C,53.75
EKDAL,Sampdoria,C,53.5
SHER,Spezia,C,53.5
BOVE,Roma,C,51.75
DEZI,Venezia,C,51.5
AGOUME,Inter,C,51.0
JAJALO,Udinese,C,51.0
MEDEL,Bologna,C,50.75
MONTIEL TOFOL,Fiorentina,C,50.75
DIAWARA,Roma,C,50.75
GRASSI,Cagliari,C,50.5
ILIC,Verona,C,49.0
CASSATA,Genoa,C,49.0
MELEGONI,Genoa,C,48.75
SENA LEO,Spezia,C,48.75
SEGRE,Torino,C,48.75
DAMIANI,Empoli,C,48.5
ANDERSON DJAVAN,Lazio,C,48.0
VIEIRA,Sampdoria,C,48.0
BEHRAMI,Genoa,C,47.75
HONGLA,Verona,C,47.5
STURARO,Genoa,C,46.75
MAGNANELLI,Sassuolo,C,44.25
PALUMBO,Udinese,C,43.5
BARELLA,Inter,C,84.25
KOOPMEINERS TEUN,Atalanta,C,77.5
POGBA PAUL,Juventus,C,77.25
CALHANOGLU,Inter,C,76.0
ZIELINSKI PIOTR,Inter,C,75.0
PELLEGRINI LO.,Roma,C,72.75
PASALIC,Atalanta,C,71.25
DE ROON,Atalanta,C,71.0
LUIZ DOUGLAS,Juventus,C,69.0
EDERSON DOS SANTOS,Atalanta,C,68.75
COLPANI ANDREA,Fiorentina,C,68.75
KOSTIC FILIP,Juventus,C,67.75
LOCATELLI,Juventus,C,67.5
REIJNDERS TIJJANI,Milan,C,67.25
MKHITARYAN HENRIKH,Inter,C,67.0
BENNACER,Milan,C,67.0
FOFANA YOUSSOUF,Milan,C,66.75
ANGUISSA ANDRÈ ZAMBO,Napoli,C,66.5
MCKENNIE,Juventus,C,66.5
GUENDOUZI MATTEO,Lazio,C,66.25
LOFTUS-CHEEK RUBEN,Milan,C,66.25
CRISTANTE,Roma,C,66.0
BERNABE ADRIAN,Parma,C,66.0
PESSINA MATTEO,Monza,C,65.5
LAZOVIC,Verona,C,64.5
BARAK ANTONIN,Fiorentina,C,64.25
FRENDRUP MORTEN,Genoa,C,64.0
FRATTESI DAVIDE,Inter,C,63.75
MUSAH YUNUS,Milan,C,63.0
LOBOTKA,Napoli,C,62.75
KOVALENKO VIKTOR,Atalanta,C,62.75
TAMEZE ADRIEN,Torino,C,62.5
DUDA ONDREJ,Verona,C,62.25
SERDAR SUAT,Verona,C,62.25
MANDRAGORA ROLANDO,Fiorentina,C,62.0
LINETTY,Torino,C,61.25
SULEMANA IBRAHIM,Atalanta,C,61.25
ARTHUR,Juventus,C,61.0
BASIC TOMA,Lazio,C,61.0
VECINO MATIAS,Lazio,C,60.75
GONZALEZ JOAN,Lecce,C,60.75
ZURKOWSKI,Empoli,C,60.75
SAMARDZIC LAZAR,Atalanta,C,60.5
HENDERSON L.,Empoli,C,60.5
BRESCIANINI MARCO,Atalanta,C,60.0
LE FEE ENZO,Roma,C,59.5
CYPRIEN WYLAN,Parma,C,59.5
JANKTO JAKUB,Cagliari,C,59.5
KYRIAKOPOULOS GEORGIOS,Monza,C,59.25
AEBISCHER MICHEL,Bologna,C,59.0
ZARRAGA OIER,Udinese,C,59.0
MAZZITELLI LUCA,Como,C,58.75
MALEH YOUSSEF,Empoli,C,58.25
GAGLIARDINI ROBERTO,Monza,C,58.25
BOHINEN EMIL,Genoa,C,58.25
CATALDI,Lazio,C,58.0
ROVELLA NICOLO,Lazio,C,58.0
FREULER REMO,Bologna,C,57.75
LOVRIC SANDI,Udinese,C,57.75
ASLLANI KRISTJAN,Inter,C,57.75
MARIN,Cagliari,C,57.75
MIRETTI FABIO,Juventus,C,57.75
RICCI SAMUELE,Torino,C,57.5
POBEGA,Milan,C,57.5
THORSBY MORTEN,Genoa,C,57.0
RICHARDSON AMIR,Fiorentina,C,57.0
RAMADANI YLBER,Lecce,C,56.75
FOLORUNSHO MICHAEL,Napoli,C,56.5
BOVE,Roma,C,56.5
MAKOUMBOU ANTOINE,Cagliari,C,56.5
BASELLI DANIELE,Como,C,56.5
COULIBALY LASSANA,Lecce,C,56.25
HERNANI JUNIOR,Parma,C,56.25
TERRACCIANO FILIPPO,Milan,C,56.0
PAREDES LEANDRO,Roma,C,55.75
ENGELHARDT YANNIK,Como,C,55.75
AMRABAT,Fiorentina,C,55.75
FELICI MATTIA,Cagliari,C,55.5
CIURRIA PATRICK,Monza,C,55.5
HARROUI ABDOU,Verona,C,55.25
KARLSTROM JESPER,Udinese,C,55.25
FAGIOLI,Juventus,C,55.25
AKPA AKPRO,Lazio,C,55.0
SUSLOV TOMAS,Verona,C,54.75
ADLI YACINE,Milan,C,54.75
EL AZZOUZI OUSSAMA,Bologna,C,54.75
BUSIO,Venezia,C,54.5
SACO COLI,Napoli,C,54.25
CASTROVILLI GAETANO,Lazio,C,54.0
MACHIN JOSE',Monza,C,54.0
DUNCAN ALFRED,Venezia,C,53.75
KABA MOHAMED,Lecce,C,53.75
ESTEVEZ NAHUEL,Parma,C,53.75
VIOLA NICOLAS,Cagliari,C,53.5
ILKHAN EMIRHAN,Torino,C,53.5
HAAS,Empoli,C,53.25
SOHM SIMON,Parma,C,53.0
ELLERTSSON MIKAEL EGILL,Venezia,C,53.0
NICOLUSSI CAVIGLIA HANS,Juventus,C,52.75
EKKELENKAMP JURGEN PETER,Udinese,C,52.75
GRASSI ALBERTO,Empoli,C,52.5
URBANSKI KACPER,Bologna,C,52.5
FIORDILINO,Venezia,C,52.5
THURAM KHEPHREN,Juventus,C,52.25
BADELJ,Genoa,C,52.0
SENSI STEFANO,Monza,C,51.75
TESSMANN,Venezia,C,51.5
ADOPO MICHEL,Cagliari,C,51.5
ANDERSEN MAGNUS KOFOD,Venezia,C,51.25
CRNIGOJ,Venezia,C,51.25
INFANTINO GINO,Fiorentina,C,51.0
ZERBIN ALESSIO,Napoli,C,50.75
DEIOLA,Cagliari,C,50.75
FABBIAN GIOVANNI,Bologna,C,50.75
PIERRET BALTHAZAR,Lecce,C,50.5
BELAHYANE REDA,Verona,C,50.5
BRAUNODER MATTHIAS,Como,C,50.25
BONDO WARREN,Monza,C,50.0
ILIC IVAN,Torino,C,49.75
PISILLI NICCOLO,Roma,C,49.75
SILVA DANI,Verona,C,49.25
MORO NIKOLA,Bologna,C,48.75
ABDILGAARD OLIVER,Como,C,48.75
BIANCO,Fiorentina,C,48.25
BELARDINELLI LUCA,Empoli,C,47.5
PRATI MATTEO,Cagliari,C,47.0
CAMARA DRISSA,Parma,C,47.0
MELEGONI,Genoa,C,46.75
PAYERO MARTIN,Udinese,C,46.0
GINEITIS GVIDAS,Torino,C,45.75
FERGUSON LEWIS,Bologna,C,43.5
SAMEK DANIEL,Lecce,C,40.5
JAJALO MATO,Venezia,C,40.0
HAINAUT ANTOINE,Parma,C,39.75
DOUMBIA ISSA,Venezia,C,34.25
CASSA FEDERICO,Atalanta,C,21.75
