HANDANOVIC,Inter,P,90.25
SZCZESNY,Juventus,P,78.5
MERET,Napoli,P,73.75
MAIGNAN,Milan,P,72.25
SIRIGU,Genoa,P,72.0
MUSSO,Atalanta,P,69.0
AUDERO,Sampdoria,P,67.0
SILVESTRI,Udinese,P,65.5
STRAKOSHA,Lazio,P,65.25
OSPINA,Napoli,P,64.25
PATRICIO RUI,Roma,P,63.0
DRAGOWSKI,Fiorentina,P,62.5
MILINKOVIC-SAVIC V.,Torino,P,62.0
CRAGNO,Cagliari,P,61.5
SKORUPSKI,Bologna,P,61.0
CONSIGLI,Sassuolo,P,60.75
SPORTIELLO,Atalanta,P,60.75
PERIN,Juventus,P,59.5
MONTIPÒ LORENZO,Verona,P,59.0
PROVEDEL,Spezia,P,58.0
BRIGNOLI,Empoli,P,55.0
RADU I.,Inter,P,55.0
LEZZERINI,Venezia,P,54.75
VICARIO,Empoli,P,54.75
BELEC,Salernitana,P,54.0
REINA,Lazio,P,53.5
BERISHA,Torino,P,52.25
TATARUSANU,Milan,P,52.0
PEGOLO,Sassuolo,P,50.0
SCUFFET,Udinese,P,49.25
TERRACCIANO,Fiorentina,P,48.0
FURLAN,Empoli,P,47.75
ROSSI F.,Atalanta,P,47.5
OLSEN ROBIN,Roma,P,47.0
ZOET,Spezia,P,46.75
FIORILLO,Salernitana,P,46.25
PADELLI,Udinese,P,46.25
ROSATI,Fiorentina,P,45.75
RADUNOVIC,Cagliari,P,45.25
FUZATO,Roma,P,44.75
CORDAZ,Inter,P,44.5
BRAZAO GABRIEL,Inter,P,44.25
PANDUR,Verona,P,44.0
SEMPER,Genoa,P,43.75
ANDRENACCI,Genoa,P,43.5
PINSOGLIO,Juventus,P,43.25
GUERRIERI GUIDO,Salernitana,P,42.75
MAENPAA,Venezia,P,42.5
ARESTI,Cagliari,P,41.75
RAVAGLIA,Sampdoria,P,41.0
BERARDI A.,Verona,P,40.5
BARDI,Bologna,P,38.25
KRAPIKAS,Spezia,P,35.5
SATALINO,Sassuolo,P,34.25
SARR M.,Bologna,P,33.5
MARCHETTI,Genoa,P,32.0
MERET,Napoli,P,72.25
DI GREGORIO MICHELE,Juventus,P,70.5
MAIGNAN,Milan,P,68.0
PROVEDEL IVAN,Lazio,P,67.75
CARNESECCHI MARCO,Atalanta,P,66.5
MILINKOVIC-SAVIC V.,Torino,P,66.25
GOLLINI PIERLUIGI,Genoa,P,65.75
SOMMER YANN,Inter,P,64.75
MUSSO,Atalanta,P,64.75
DE GEA DAVID,Fiorentina,P,64.25
SKORUPSKI,Bologna,P,63.25
MARTINEZ JOSEP,Inter,P,61.75
MONTIPÒ LORENZO,Verona,P,61.5
SVILAR MILE,Roma,P,61.25
SILVESTRI,Udinese,P,61.0
RADU I.,Inter,P,60.0
SPORTIELLO MARCO,Milan,P,59.75
CAPRILE ELIA,Napoli,P,58.5
SUZUKI ZION,Parma,P,58.0
AUDERO EMIL,Como,P,56.25
CHRISTENSEN OLIVER,Fiorentina,P,56.25
PERIN,Juventus,P,55.75
CRAGNO ALESSIO,Monza,P,54.75
VASQUEZ DEVIS,Empoli,P,53.5
CHICHIZOLA LEANDRO,Parma,P,52.5
RYAN MATHEW,Roma,P,52.5
TERRACCIANO,Fiorentina,P,52.25
JORONEN JESSE,Venezia,P,52.25
STANKOVIC FILIP,Venezia,P,51.75
SCUFFET SIMONE,Cagliari,P,51.5
VIGORITO MAURO,Como,P,50.75
SHERRI ALAN,Cagliari,P,50.0
OKOYE MADUKA,Udinese,P,49.75
SORRENTINO ALESSANDRO,Monza,P,49.75
FRUCHTL CHRISTIAN,Lecce,P,49.5
FALCONE WLADIMIRO,Lecce,P,48.75
BRANCOLINI FEDERICO,Empoli,P,47.25
PIZZIGNACCO SEMUEL,Monza,P,47.0
MANDAS CHRISTOS,Lazio,P,46.75
FURLANETTO ALESSIO,Lazio,P,45.75
ROSSI F.,Atalanta,P,45.25
DI GENNARO RAFFAELE,Inter,P,44.0
CORVI EDOARDO,Parma,P,43.75
BERTINATO,Venezia,P,43.75
PADELLI,Udinese,P,43.75
DONNARUMMA ANTONIO,Torino,P,43.5
REINA PEPE,Como,P,43.25
MARTINELLI TOMMASO,Fiorentina,P,42.75
